,Athlete,Gender,Event,Medal,DOB,height,weight_lbs,weight_kg,DOB1,Age,Year
26,"WAHLE, Otto",Men,400m freestyle,Bronze,"November 5, 1879",,,#VALUE!,"November 5, 1879",24.8356164384,1904
27,"DANIELS, Charles",Men,400m freestyle,Gold,"October 28, 1936 (age 80 years)",187.96,154,70,"October 28, 1936 ",,1904
28,"GAILEY, Francis",Men,400m freestyle,Silver,"January 21, 1882",,,#VALUE!,"January 21, 1882",22.6219178082,1904
29,"HARESNAPE, Herbert Nickall",Men,100m backstroke,Bronze,"July 2, 1880",175.26,,#VALUE!,"July 2, 1880",,1908
30,"BIEBERSTEIN, Arno",Men,100m backstroke,Gold,"October 24, 1884",,,#VALUE!,"October 24, 1884",23.8657534247,1908
31,"DAM, Hans Peter Ludwig",Men,100m backstroke,Silver,,,,#VALUE!,,,1908
32,"JULIN, Harald S.A.",Men,100m freestyle,Bronze,,,,#VALUE!,,,1908
33,"DANIELS, Charles",Men,100m freestyle,Gold,"October 28, 1936 (age 80 years)",187.96,154,70,"October 28, 1936 ",,1908
34,"HALMAY, Zoltan",Men,100m freestyle,Silver,"June 18, 1881",,,#VALUE!,"June 18, 1881",27.2191780822,1908
35,"BEAUREPAIRE, Frank E.",Men,1500m freestyle,Bronze,"May 13, 1891",,,#VALUE!,"May 13, 1891",17.3123287671,1908
36,"TAYLOR, Henry",Men,1500m freestyle,Gold,"June 21, 1942 (age 74 years)",,146,66.36363636,"June 21, 1942 ",,1908
37,"BATTERSBY, Thomas Sidney",Men,1500m freestyle,Silver,"November 18, 1887",,,#VALUE!,"November 18, 1887",20.797260274,1908
38,"HANSSON, Pontus",Men,200m breaststroke,Bronze,"May 24, 1894",,,#VALUE!,"May 24, 1894",14.2794520548,1908
39,"HOLMAN, Frederick",Men,200m breaststroke,Gold,March 1883,177.8,157,71.36363636,March 1883,25.5178082192,1908
40,"ROBINSON, William Walter",Men,200m breaststroke,Silver,,,,#VALUE!,,,1908
41,"SCHEFF, Otto",Men,400m freestyle,Bronze,"December 12, 1889",,,#VALUE!,"December 12, 1889",18.7287671233,1908
42,"TAYLOR, Henry",Men,400m freestyle,Gold,"June 21, 1942 (age 74 years)",,146,66.36363636,"June 21, 1942 ",,1908
43,"BEAUREPAIRE, Frank E.",Men,400m freestyle,Silver,"May 13, 1891",,,#VALUE!,"May 13, 1891",17.3123287671,1908
44,"KELLNER, Paul",Men,100m backstroke,Bronze,"June 6, 1890",,,#VALUE!,"June 6, 1890",22.2493150685,1912
45,"HEBNER, Harry J.",Men,100m backstroke,Gold,,,,#VALUE!,,,1912
46,"FAHR, Otto",Men,100m backstroke,Silver,"August 19, 1892",,,#VALUE!,"August 19, 1892",20.0438356164,1912
47,"HUSZAGH, Kenneth",Men,100m freestyle,Bronze,"September 3, 1891",,,#VALUE!,"September 3, 1891",21.0054794521,1912
48,"KAHANAMOKU, Duke Paoa",Men,100m freestyle,Gold,"August 24, 1890",185.42,,#VALUE!,"August 24, 1890",22.0328767123,1912
49,"HEALY, Cecil",Men,100m freestyle,Silver,"November 28, 1881",,,#VALUE!,"November 28, 1881",,1912
50,"FLETCHER, Jennie",Women,100m freestyle,Bronze,"March 19, 1890",,,#VALUE!,"March 19, 1890",22.4657534247,1912
51,"DURACK, Fanny",Women,100m freestyle,Gold,"October 27, 1889",,,#VALUE!,"October 27, 1889",22.8575342466,1912
52,"WYLIE, Wilhelmina",Women,100m freestyle,Silver,"June 27, 1891",,,#VALUE!,"June 27, 1891",21.1917808219,1912
53,"HARDWICK, Harold H.",Men,1500m freestyle,Bronze,,,,#VALUE!,,,1912
54,"HODGSON, George Ritchie",Men,1500m freestyle,Gold,,,,#VALUE!,,,1912
55,"HATFIELD, John Gatenby",Men,1500m freestyle,Silver,"August 15, 1893",,,#VALUE!,"August 15, 1893",19.0547945205,1912
56,"MALISCH, Kurt Paul",Men,200m breaststroke,Bronze,,,,#VALUE!,,,1912
57,"BATHE, Walter",Men,200m breaststroke,Gold,"December 1, 1892",,,#VALUE!,"December 1, 1892",19.7589041096,1912
58,"L TZOW, Willy",Men,200m breaststroke,Silver,,,,#VALUE!,,,1912
59,"HARDWICK, Harold H.",Men,400m freestyle,Bronze,,,,#VALUE!,,,1912
60,"HODGSON, George Ritchie",Men,400m freestyle,Gold,,,,#VALUE!,,,1912
61,"HATFIELD, John Gatenby",Men,400m freestyle,Silver,"August 15, 1893",,,#VALUE!,"August 15, 1893",19.0547945205,1912
62,"BLITZ, Gerard",Men,100m backstroke,Bronze,28-Feb-12,,,#VALUE!,28-Feb-12,,1920
63,"KEALOHA, Warren Paoa",Men,100m backstroke,Gold,,,,#VALUE!,,,1920
64,"KEGERIS, Raymond",Men,100m backstroke,Silver,10-Sep-01,170.18,,#VALUE!,10-Sep-01,,1920
65,"HARRIS, William",Men,100m freestyle,Bronze,"March 28, 1883",,,#VALUE!,"March 28, 1883",,1920
66,"KAHANAMOKU, Duke Paoa",Men,100m freestyle,Gold,"August 24, 1890",185.42,,#VALUE!,"August 24, 1890",,1920
67,"KEALOHA, Pua Kela",Men,100m freestyle,Silver,14-Nov-02,,,#VALUE!,14-Nov-02,,1920
68,"SCHROTH, Frances",Women,100m freestyle,Bronze,"April 11, 1893",167.64,,#VALUE!,"April 11, 1893",,1920
69,"BLEIBTREY, Ethelda",Women,100m freestyle,Gold,27-Feb-02,,,#VALUE!,27-Feb-02,,1920
70,"GUEST, Irene",Women,100m freestyle,Silver,,157.48,,#VALUE!,,,1920
71,"BEAUREPAIRE, Frank E.",Men,1500m freestyle,Bronze,"May 13, 1891",,,#VALUE!,"May 13, 1891",,1920
72,"ROSS, Norman",Men,1500m freestyle,Gold,"January 7, 1959 (age 57 years)",,,#VALUE!,"January 7, 1959 ",,1920
73,"VERNOT, George",Men,1500m freestyle,Silver,,152.4,198,90,,,1920
74,"AALTONEN, Arvo Ossian",Men,200m breaststroke,Bronze,"December 2, 1892",,,#VALUE!,"December 2, 1892",,1920
75,"MALMROT, Hakan",Men,200m breaststroke,Gold,29-Nov-00,,,#VALUE!,29-Nov-00,,1920
76,"HENNING, Tor",Men,200m breaststroke,Silver,"April 4, 1979 (age 37 years)",187.96,,#VALUE!,"April 4, 1979 ",,1920
77,"VERNOT, George",Men,400m freestyle,Bronze,,152.4,198,90,,,1920
78,"ROSS, Norman",Men,400m freestyle,Gold,"January 7, 1959 (age 57 years)",,,#VALUE!,"January 7, 1959 ",,1920
79,"LANGER, Ludy",Men,400m freestyle,Silver,"January 22, 1893",175.26,161,73.18181818,"January 22, 1893",,1920
80,"SCHROTH, Frances",Women,400m freestyle,Bronze,"April 11, 1893",167.64,,#VALUE!,"April 11, 1893",,1920
81,"BLEIBTREY, Ethelda",Women,400m freestyle,Gold,27-Feb-02,,,#VALUE!,27-Feb-02,,1920
82,"WOODBRIDGE, Margaret",Women,400m freestyle,Silver,,170.18,,#VALUE!,,,1920
83,"BARTHA, Istvàn",Men,100m backstroke,Bronze,,,,#VALUE!,,,1924
84,"KEALOHA, Warren Paoa",Men,100m backstroke,Gold,,,,#VALUE!,,,1924
85,"WYATT, Paul",Men,100m backstroke,Silver,,182.88,,#VALUE!,,,1924
86,"RIGGIN, Aileen",Women,100m backstroke,Bronze,2-May-06,142.24,,#VALUE!,2-May-06,,1924
87,"BAUER, Sybil",Women,100m backstroke,Gold,18-Sep-03,,,#VALUE!,18-Sep-03,,1924
88,"HARDING, Phyllis",Women,100m backstroke,Silver,15-Dec-07,,,#VALUE!,15-Dec-07,,1924
89,"KAHANAMOKU, Samuel",Men,100m freestyle,Bronze,4-Nov-02,,,#VALUE!,4-Nov-02,,1924
90,"WEISSMULLER, Johnny",Men,100m freestyle,Gold,2-Jun-04,190.5,,#VALUE!,2-Jun-04,,1924
91,"KAHANAMOKU, Duke Paoa",Men,100m freestyle,Silver,"August 24, 1890",185.42,,#VALUE!,"August 24, 1890",,1924
92,"EDERLE, Gertrude",Women,100m freestyle,Bronze,23-Oct-05,167.64,141,64.09090909,23-Oct-05,,1924
93,"LACKIE, Ethel",Women,100m freestyle,Gold,10-Feb-07,162.56,,#VALUE!,10-Feb-07,,1924
94,"WEHSELAU, Mariechen",Women,100m freestyle,Silver,15-May-06,,,#VALUE!,15-May-06,,1924
95,"DE BEAUREPAIRE, Frank",Men,1500m freestyle,Bronze,"May 13, 1891",,143,65,"May 13, 1891",,1924
96,"CHARLTON, Andrew",Men,1500m freestyle,Gold,12-Aug-07,182.88,,#VALUE!,12-Aug-07,,1924
97,"BORG, Arne",Men,1500m freestyle,Silver,,,,#VALUE!,,,1924
98,"KIRSHBAUM, William",Men,200m breaststroke,Bronze,,,,#VALUE!,,,1924
99,"SKELTON, Robert",Men,200m breaststroke,Gold,"October 4, 1896",,,#VALUE!,"October 4, 1896",,1924
100,"DE COMBE, Joseph",Men,200m breaststroke,Silver,19-Jun-01,,,#VALUE!,19-Jun-01,,1924
101,"CARSON, Gladys",Women,200m breaststroke,Bronze,8-Feb-03,,,#VALUE!,8-Feb-03,,1924
102,"MORTON, Lucille",Women,200m breaststroke,Gold,6-Aug-11,170.18,,#VALUE!,6-Aug-11,,1924
103,"GERAGHTY, Agnes",Women,200m breaststroke,Silver,,,,#VALUE!,,,1924
104,"CHARLTON, Andrew",Men,400m freestyle,Bronze,,182.88,,#VALUE!,,,1924
105,"WEISSMULLER, Johnny",Men,400m freestyle,Gold,,190.5,,#VALUE!,,,1924
106,"BORG, Arne",Men,400m freestyle,Silver,,,,#VALUE!,,,1924
107,"EDERLE, Gertrude",Women,400m freestyle,Bronze,,167.64,141,64.09090909,,,1924
108,"NORELIUS, Martha",Women,400m freestyle,Gold,,,,#VALUE!,,,1924
109,"WAINWRIGHT, Helen",Women,400m freestyle,Silver,15-Mar-06,154.94,,#VALUE!,15-Mar-06,,1924
110,"WYATT, Paul",Men,100m backstroke,Bronze,,182.88,,#VALUE!,,,1928
111,"KOJAC, George Harold",Men,100m backstroke,Gold,2-Mar-10,,,#VALUE!,2-Mar-10,,1928
112,"LAUFER, Walter",Men,100m backstroke,Silver,5-Jul-06,,,#VALUE!,5-Jul-06,,1928
113,"COOPER, Margaret Joyce",Women,100m backstroke,Bronze,,,,#VALUE!,,,1928
114,"BRAUN, Maria Johanna",Women,100m backstroke,Gold,22-Jun-11,170.18,,#VALUE!,22-Jun-11,,1928
115,"KING, Ellen Elizabeth",Women,100m backstroke,Silver,16-Jan-09,,,#VALUE!,16-Jan-09,,1928
116,"TAKAISHI, Katsuo",Men,100m freestyle,Bronze,14-Oct-06,,,#VALUE!,14-Oct-06,,1928
117,"WEISSMULLER, Johnny",Men,100m freestyle,Gold,2-Jun-04,190.5,,#VALUE!,2-Jun-04,,1928
118,"BARANY, Istvan",Men,100m freestyle,Silver,20-Dec-07,,,#VALUE!,20-Dec-07,,1928
119,"COOPER, Margaret Joyce",Women,100m freestyle,Bronze,,,,#VALUE!,,,1928
120,"OSIPOWICH, Albina Lucy",Women,100m freestyle,Gold,26-Feb-11,,,#VALUE!,26-Feb-11,,1928
121,"SAVILLE, Eleanor",Women,100m freestyle,Silver,12-Jun-09,,,#VALUE!,12-Jun-09,,1928
122,"CRABBE, Clarence",Men,1500m freestyle,Bronze,7-Feb-08,,,#VALUE!,7-Feb-08,,1928
123,"BORG, Arne",Men,1500m freestyle,Gold,,,,#VALUE!,,,1928
124,"CHARLTON, Andrew",Men,1500m freestyle,Silver,12-Aug-07,182.88,,#VALUE!,12-Aug-07,,1928
125,"YLDEFONSO, Teofilo",Men,200m breaststroke,Bronze,5-Nov-02,170.18,,#VALUE!,5-Nov-02,,1928
126,"TSURUTA, Yoshiyuki",Men,200m breaststroke,Gold,1-Oct-03,,,#VALUE!,1-Oct-03,,1928
127,"RADEMACHER, Erich",Men,200m breaststroke,Silver,9-Jun-01,,,#VALUE!,9-Jun-01,,1928
128,"M HE, Charlotte",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1928
129,"SCHRADER, Hilde",Women,200m breaststroke,Gold,4-Jan-10,,,#VALUE!,4-Jan-10,,1928
130,"BARON, Mietje",Women,200m breaststroke,Silver,,,,#VALUE!,,,1928
131,"BORG, Arne",Men,400m freestyle,Bronze,,,,#VALUE!,,,1928
132,"ZORRILLA, Victoriano",Men,400m freestyle,Gold,11-Feb-06,,,#VALUE!,11-Feb-06,,1928
133,"CHARLTON, Andrew",Men,400m freestyle,Silver,12-Aug-07,182.88,,#VALUE!,12-Aug-07,,1928
134,"MCKIM, Josephine E.",Women,400m freestyle,Bronze,4-Jan-10,,,#VALUE!,4-Jan-10,,1928
135,"NORELIUS, Martha",Women,400m freestyle,Gold,21-Jan-11,,,#VALUE!,21-Jan-11,,1928
136,"BRAUN, Maria Johanna",Women,400m freestyle,Silver,22-Jun-11,170.18,,#VALUE!,22-Jun-11,,1928
137,"KAWATSU, Kentaro",Men,100m backstroke,Bronze,26-Sep-15,,,#VALUE!,26-Sep-15,,1932
138,"KIYOKAWA, Masaji",Men,100m backstroke,Gold,11-Feb-13,,,#VALUE!,11-Feb-13,,1932
139,"IRIYE, Toshio",Men,100m backstroke,Silver,,,,#VALUE!,,,1932
140,"DAVIES, Elizabeth Valerie",Women,100m backstroke,Bronze,,,,#VALUE!,,,1932
141,"HOLM, Eleanor",Women,100m backstroke,Gold,6-Dec-13,,,#VALUE!,6-Dec-13,,1932
142,"MEALING, Philomenia Alecia",Women,100m backstroke,Silver,,,,#VALUE!,,,1932
143,"SCHWARTZ, Albert",Men,100m freestyle,Bronze,21-Dec-07,,,#VALUE!,21-Dec-07,,1932
144,"MIOYAZAKI, Yasuji",Men,100m freestyle,Gold,15-Oct-16,,,#VALUE!,15-Oct-16,,1932
145,"KAWAISHI, Tatsugo",Men,100m freestyle,Silver,10-Dec-11,,,#VALUE!,10-Dec-11,,1932
146,"SAVILLE, Eleanor",Women,100m freestyle,Bronze,12-Jun-09,,,#VALUE!,12-Jun-09,,1932
147,"MADISON, Helene",Women,100m freestyle,Gold,19-Jun-13,,,#VALUE!,19-Jun-13,,1932
148,"DEN OUDEN, Willemyntje (Willy)",Women,100m freestyle,Silver,1-Jan-18,162.56,,#VALUE!,1-Jan-18,,1932
149,"CRISTY, James Crapo Jr.",Men,1500m freestyle,Bronze,22-Jan-13,,,#VALUE!,22-Jan-13,,1932
150,"KITAMURA, Kusuo",Men,1500m freestyle,Gold,19-Oct-17,,,#VALUE!,19-Oct-17,,1932
151,"MAKINO, Shozo",Men,1500m freestyle,Silver,"September 22, 1878",154.94,119,54.09090909,"September 22, 1878",,1932
152,"YLDEFONSO, Teofilo",Men,200m breaststroke,Bronze,5-Nov-02,170.18,,#VALUE!,5-Nov-02,,1932
153,"TSURUTA, Yoshiyuki",Men,200m breaststroke,Gold,1-Oct-03,,,#VALUE!,1-Oct-03,,1932
154,"KOIKE, Reizo",Men,200m breaststroke,Silver,12-Dec-15,,,#VALUE!,12-Dec-15,,1932
155,"JACOBSEN, Else Agnes Ella",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1932
156,"DENNIS, Clare",Women,200m breaststroke,Gold,,,,#VALUE!,,,1932
157,"MAEHATA, Hideko",Women,200m breaststroke,Silver,20-May-14,,,#VALUE!,20-May-14,,1932
158,"OYOKOTA, Tsutomu",Men,400m freestyle,Bronze,"April 20, 1913 (age 103 years)",,,#VALUE!,"April 20, 1913 ",19.3780821918,1932
159,"CRABBE, Clarence",Men,400m freestyle,Gold,7-Feb-08,,,#VALUE!,7-Feb-08,,1932
160,"TARIS, Jean",Men,400m freestyle,Silver,6-Jul-09,177.8,,#VALUE!,6-Jul-09,,1932
161,"MAAKAL, Jenny",Women,400m freestyle,Bronze,,,,#VALUE!,,,1932
162,"MADISON, Helene",Women,400m freestyle,Gold,,,,#VALUE!,,,1932
163,"KIGHT-WINGARD, Lenore",Women,400m freestyle,Silver,,,,#VALUE!,,,1932
164,"KIYOKAWA, Masaji",Men,100m backstroke,Bronze,,,,#VALUE!,,,1936
165,"KIEFER, Adolph Gustav",Men,100m backstroke,Gold,,,,#VALUE!,,,1936
166,"VAN DE WEGHE, Albert",Men,100m backstroke,Silver,,,,#VALUE!,,,1936
167,"BRIDGES, Alice W.",Women,100m backstroke,Bronze,,,,#VALUE!,,,1936
168,"SENFF, Dina Willemina Jacoba",Women,100m backstroke,Gold,3-Apr-20,,,#VALUE!,3-Apr-20,,1936
169,"MASTENBROEK, Hendrika",Women,100m backstroke,Silver,26-Feb-19,,,#VALUE!,26-Feb-19,,1936
170,"ARAI, Shigeo",Men,100m freestyle,Bronze,8-Aug-16,,,#VALUE!,8-Aug-16,,1936
171,"CSIK, Ferenc",Men,100m freestyle,Gold,12-Dec-13,,,#VALUE!,12-Dec-13,,1936
172,"YUSA, Masanori",Men,100m freestyle,Silver,8-Jan-15,,,#VALUE!,8-Jan-15,,1936
173,"ARENDT-JACOBS, Gisela",Women,100m freestyle,Bronze,,,,#VALUE!,,,1936
174,"MASTENBROEK, Hendrika",Women,100m freestyle,Gold,26-Feb-19,,,#VALUE!,26-Feb-19,,1936
175,"CAMPBELL, Jeanette Morven",Women,100m freestyle,Silver,8-Mar-16,,,#VALUE!,8-Mar-16,,1936
176,"UTO, Shunpei",Men,1500m freestyle,Bronze,"December 1, 1918 (age 97 years)",,,#VALUE!,"December 1, 1918 ",17.7616438356,1936
177,"TERADA, Noboru",Men,1500m freestyle,Gold,25-Nov-17,,,#VALUE!,25-Nov-17,,1936
178,"MEDICA, Jack C.",Men,1500m freestyle,Silver,,,,#VALUE!,,,1936
179,"KOIKE, Reizo",Men,200m breaststroke,Bronze,12-Dec-15,,,#VALUE!,12-Dec-15,,1936
180,"HAMURO, Tetsuo",Men,200m breaststroke,Gold,7-Sep-17,,,#VALUE!,7-Sep-17,,1936
181,"SIETAS, Erwin",Men,200m breaststroke,Silver,24-Jul-10,,,#VALUE!,24-Jul-10,,1936
182,"SÉRENSEN, Inge",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1936
183,"MAEHATA, Hideko",Women,200m breaststroke,Gold,20-May-14,,,#VALUE!,20-May-14,,1936
184,"GENENGER, Martha",Women,200m breaststroke,Silver,11-Nov-11,,,#VALUE!,11-Nov-11,,1936
185,"MAKINO, Shozo",Men,400m freestyle,Bronze,"September 22, 1878",154.94,119,54.09090909,"September 22, 1878",,1936
186,"MEDICA, Jack C.",Men,400m freestyle,Gold,,,,#VALUE!,,,1936
187,"UTO, Shunpei",Men,400m freestyle,Silver,"December 1, 1918 (age 97 years)",,,#VALUE!,"December 1, 1918 ",17.7616438356,1936
188,"KIGHT-WINGARD, Lenore",Women,400m freestyle,Bronze,26-Sep-11,,,#VALUE!,26-Sep-11,,1936
189,"MASTENBROEK, Hendrika",Women,400m freestyle,Gold,26-Feb-19,,,#VALUE!,26-Feb-19,,1936
190,"HVEGER, Ragnild Tove",Women,400m freestyle,Silver,10-Dec-20,,,#VALUE!,10-Dec-20,,1936
191,"VALLEREY JR., Georges",Men,100m backstroke,Bronze,21-Oct-27,,,#VALUE!,21-Oct-27,,1948
192,"STACK, Allen Mcintyre",Men,100m backstroke,Gold,23-Jan-28,,,#VALUE!,23-Jan-28,,1948
193,"COWELL, Robert Elmer",Men,100m backstroke,Silver,,193.04,,#VALUE!,,,1948
194,"DAVIES, Judith Joy",Women,100m backstroke,Bronze,5-Jun-28,,,#VALUE!,5-Jun-28,,1948
195,"HARUP, Karen Margrethe",Women,100m backstroke,Gold,20-Nov-24,,,#VALUE!,20-Nov-24,,1948
196,"ZIMMERMAN, Suzanne Winona",Women,100m backstroke,Silver,"July 13, 1925 (age 91 years)",,,#VALUE!,"July 13, 1925 ",23.1506849315,1948
197,"KADAS, Geza",Men,100m freestyle,Bronze,7-Aug-26,,,#VALUE!,7-Aug-26,,1948
198,"RIS, Walter Stephen",Men,100m freestyle,Gold,,,,#VALUE!,,,1948
199,"FORD, Alan Robert",Men,100m freestyle,Silver,,,170,77.27272727,,,1948
200,"LINSSEN-VAESSEN, Marie-Louise Jean",Women,100m freestyle,Bronze,19-Mar-28,,,#VALUE!,19-Mar-28,,1948
201,"ANDERSEN, Greta Marie",Women,100m freestyle,Gold,"May 1, 1927 (age 89 years)",175.26,,#VALUE!,"May 1, 1927 ",21.3506849315,1948
202,"CURTIS, Ann Elisabeth",Women,100m freestyle,Silver,6-Mar-26,180.34,,#VALUE!,6-Mar-26,,1948
203,"MITRO, Gy_rgy",Men,1500m freestyle,Bronze,,,,#VALUE!,,,1948
204,"MCLANE, James Price Jr.",Men,1500m freestyle,Gold,"September 13, 1930 (age 86 years)",,,#VALUE!,"September 13, 1930 ",17.9780821918,1948
205,"MARSHALL, John Birnie",Men,1500m freestyle,Silver,29-Mar-30,,,#VALUE!,29-Mar-30,,1948
206,"SOHL, Robert Raymond",Men,200m breaststroke,Bronze,28-Mar-28,,,#VALUE!,28-Mar-28,,1948
207,"VERDEUR, Joseph Thomas",Men,200m breaststroke,Gold,7-Mar-26,,,#VALUE!,7-Mar-26,,1948
208,"CARTER, Keith Eyre",Men,200m breaststroke,Silver,30-Aug-24,,,#VALUE!,30-Aug-24,,1948
209,"NOVAK-GERARD, Eva",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1948
210,"VAN VLIET, Petronella (Nel)",Women,200m breaststroke,Gold,,,,#VALUE!,,,1948
211,"LYONS, Beatrice Nancy",Women,200m breaststroke,Silver,"April 12, 1930 (age 86 years)",,,#VALUE!,"April 12, 1930 ",18.4,1948
212,"MARSHALL, John Birnie",Men,400m freestyle,Bronze,29-Mar-30,,,#VALUE!,29-Mar-30,,1948
213,"SMITH, William M. Jr.",Men,400m freestyle,Gold,,,,#VALUE!,,,1948
214,"MCLANE, James Price Jr.",Men,400m freestyle,Silver,"September 13, 1930 (age 86 years)",,,#VALUE!,"September 13, 1930 ",17.9780821918,1948
215,"GIBSON, Catherine",Women,400m freestyle,Bronze,21-Mar-31,,,#VALUE!,21-Mar-31,,1948
216,"CURTIS, Ann Elisabeth",Women,400m freestyle,Gold,6-Mar-26,180.34,,#VALUE!,6-Mar-26,,1948
217,"HARUP, Karen Margrethe",Women,400m freestyle,Silver,20-Nov-24,,,#VALUE!,20-Nov-24,,1948
218,"TAYLOR, Jack George Neil",Men,100m backstroke,Bronze,31-Jan-31,,,#VALUE!,31-Jan-31,,1952
219,"OYAKAWA, Yoshinobu",Men,100m backstroke,Gold,"August 9, 1933 (age 83 years)",170.18,154,70,"August 9, 1933 ",19.0739726027,1952
220,"BOZON, Gilbert",Men,100m backstroke,Silver,19-Mar-35,,,#VALUE!,19-Mar-35,,1952
221,"STEWART, Jean",Women,100m backstroke,Bronze,"December 23, 1930 (age 85 years)",,,#VALUE!,"December 23, 1930 ",21.704109589,1952
222,"HARRISON, Joan Cynthia",Women,100m backstroke,Gold,,,,#VALUE!,,,1952
223,"WIELEMA, Geertje",Women,100m backstroke,Silver,24-Jul-34,,,#VALUE!,24-Jul-34,,1952
224,"LARSSON, G_ran",Men,100m freestyle,Bronze,,,,#VALUE!,,,1952
225,"SCHOLES, Clark Currie",Men,100m freestyle,Gold,25-Nov-30,190.5,174,79.09090909,25-Nov-30,,1952
226,"SUZUKI, Hiroshi",Men,100m freestyle,Silver,"December 13, 1973 (age 42 years)",,,#VALUE!,"December 13, 1973 ",,1952
227,"TEMES, Judith",Women,100m freestyle,Bronze,,,,#VALUE!,,,1952
228,"SZÉKE, Katalin",Women,100m freestyle,Gold,,,,#VALUE!,,,1952
229,"TERMEULEN, Johanna Maria",Women,100m freestyle,Silver,18-Feb-29,,,#VALUE!,18-Feb-29,,1952
230,"OKAMOTO, Tetsuo",Men,1500m freestyle,Bronze,20-Mar-32,,,#VALUE!,20-Mar-32,,1952
231,"KONNO, Ford Hiroshi",Men,1500m freestyle,Gold,,,150,68.18181818,,,1952
232,"HASHIZUME, Shiro",Men,1500m freestyle,Silver,1928,182.88,161,73.18181818,1928,24.6821917808,1952
233,"KLEIN, Herbert",Men,200m breaststroke,Bronze,"January 6, 1936 (age 80 years)",,,#VALUE!,"January 6, 1936 ",16.6630136986,1952
234,"DAVIES, John Griffith",Men,200m breaststroke,Gold,,,,#VALUE!,,,1952
235,"STASSFORTH, Bowen Dow",Men,200m breaststroke,Silver,"August 7, 1926 (age 90 years)",,,#VALUE!,"August 7, 1926 ",26.0849315068,1952
236,"GORDON-MCKAY, Helen Orr",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1952
