,Unnamed: 0,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal,DOB,height,age,weight_lbs,weight_kg,distance,stroke
18,18,St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Gold,"June 18, 1881",,23.0,,#VALUE!,100m,Freestyle
19,19,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Silver,"October 28, 1936 (age 80 years)",187.96,,154,70,100m,Freestyle
20,20,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,1500m freestyle,M,Bronze,"January 21, 1882",,22.0,,#VALUE!,1500m,Freestyle
21,21,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,1500m freestyle,M,Gold,"September 11, 1883",,20.0,,#VALUE!,1500m,Freestyle
22,22,St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,1500m freestyle,M,Silver,"October 22, 1882",,21.0,,#VALUE!,1500m,Freestyle
23,23,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,200m freestyle,M,Bronze,"September 11, 1883",,20.0,,#VALUE!,200m,Freestyle
24,24,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,200m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,,154,70,200m,Freestyle
25,25,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,200m freestyle,M,Silver,"January 21, 1882",,22.0,,#VALUE!,200m,Freestyle
26,26,St Louis,1904,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,400m freestyle,M,Bronze,"November 5, 1879",,24.0,,#VALUE!,400m,Freestyle
27,27,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,400m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,,154,70,400m,Freestyle
28,28,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,400m freestyle,M,Silver,"January 21, 1882",,22.0,,#VALUE!,400m,Freestyle
29,29,London,1908,Aquatics,Swimming,"HARESNAPE, Herbert Nickall",GBR,Men,100m backstroke,M,Bronze,"July 2, 1880",175.26,28.0,,#VALUE!,100m,Backstroke
30,30,London,1908,Aquatics,Swimming,"BIEBERSTEIN, Arno",GER,Men,100m backstroke,M,Gold,"October 24, 1884",,23.0,,#VALUE!,100m,Backstroke
31,31,London,1908,Aquatics,Swimming,"DAM, Hans Peter Ludwig",DEN,Men,100m backstroke,M,Silver,,,,,#VALUE!,100m,Backstroke
32,32,London,1908,Aquatics,Swimming,"JULIN, Harald S.A.",SWE,Men,100m freestyle,M,Bronze,,,,,#VALUE!,100m,Freestyle
33,33,London,1908,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,,154,70,100m,Freestyle
34,34,London,1908,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Silver,"June 18, 1881",,27.0,,#VALUE!,100m,Freestyle
35,35,London,1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Men,1500m freestyle,M,Bronze,"May 13, 1891",,17.0,,#VALUE!,1500m,Freestyle
36,36,London,1908,Aquatics,Swimming,"TAYLOR, Henry",GBR,Men,1500m freestyle,M,Gold,"June 21, 1942 (age 74 years)",,,146,66.36363636,1500m,Freestyle
37,37,London,1908,Aquatics,Swimming,"BATTERSBY, Thomas Sidney",GBR,Men,1500m freestyle,M,Silver,"November 18, 1887",,20.0,,#VALUE!,1500m,Freestyle
38,38,London,1908,Aquatics,Swimming,"HANSSON, Pontus",SWE,Men,200m breaststroke,M,Bronze,"May 24, 1894",,14.0,,#VALUE!,200m,Breaststroke
39,39,London,1908,Aquatics,Swimming,"HOLMAN, Frederick",GBR,Men,200m breaststroke,M,Gold,March 1883,177.8,25.0,157,71.36363636,200m,Breaststroke
40,40,London,1908,Aquatics,Swimming,"ROBINSON, William Walter",GBR,Men,200m breaststroke,M,Silver,,,,,#VALUE!,200m,Breaststroke
41,41,London,1908,Aquatics,Swimming,"SCHEFF, Otto",AUT,Men,400m freestyle,M,Bronze,"December 12, 1889",,18.0,,#VALUE!,400m,Freestyle
42,42,London,1908,Aquatics,Swimming,"TAYLOR, Henry",GBR,Men,400m freestyle,M,Gold,"June 21, 1942 (age 74 years)",,,146,66.36363636,400m,Freestyle
43,43,London,1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Men,400m freestyle,M,Silver,"May 13, 1891",,17.0,,#VALUE!,400m,Freestyle
44,44,Stockholm,1912,Aquatics,Swimming,"KELLNER, Paul",GER,Men,100m backstroke,M,Bronze,"June 6, 1890",,22.0,,#VALUE!,100m,Backstroke
45,45,Stockholm,1912,Aquatics,Swimming,"HEBNER, Harry J.",USA,Men,100m backstroke,M,Gold,,,,,#VALUE!,100m,Backstroke
46,46,Stockholm,1912,Aquatics,Swimming,"FAHR, Otto",GER,Men,100m backstroke,M,Silver,"August 19, 1892",,20.0,,#VALUE!,100m,Backstroke
47,47,Stockholm,1912,Aquatics,Swimming,"HUSZAGH, Kenneth",USA,Men,100m freestyle,M,Bronze,"September 3, 1891",,21.0,,#VALUE!,100m,Freestyle
48,48,Stockholm,1912,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold,"August 24, 1890",185.42,22.0,,#VALUE!,100m,Freestyle
49,49,Stockholm,1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Men,100m freestyle,M,Silver,"November 28, 1881",,30.0,,#VALUE!,100m,Freestyle
50,50,Stockholm,1912,Aquatics,Swimming,"FLETCHER, Jennie",GBR,Women,100m freestyle,W,Bronze,"March 19, 1890",,22.0,,#VALUE!,100m,Freestyle
51,51,Stockholm,1912,Aquatics,Swimming,"DURACK, Fanny",ANZ,Women,100m freestyle,W,Gold,"October 27, 1889",,22.0,,#VALUE!,100m,Freestyle
52,52,Stockholm,1912,Aquatics,Swimming,"WYLIE, Wilhelmina",ANZ,Women,100m freestyle,W,Silver,"June 27, 1891",,21.0,,#VALUE!,100m,Freestyle
53,53,Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,1500m freestyle,M,Bronze,,,,,#VALUE!,1500m,Freestyle
54,54,Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,1500m freestyle,M,Gold,,,,,#VALUE!,1500m,Freestyle
55,55,Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,1500m freestyle,M,Silver,"August 15, 1893",,19.0,,#VALUE!,1500m,Freestyle
56,56,Stockholm,1912,Aquatics,Swimming,"MALISCH, Kurt Paul",GER,Men,200m breaststroke,M,Bronze,,,,,#VALUE!,200m,Breaststroke
57,57,Stockholm,1912,Aquatics,Swimming,"BATHE, Walter",GER,Men,200m breaststroke,M,Gold,"December 1, 1892",,19.0,,#VALUE!,200m,Breaststroke
58,58,Stockholm,1912,Aquatics,Swimming,"L TZOW, Willy",GER,Men,200m breaststroke,M,Silver,,,,,#VALUE!,200m,Breaststroke
59,59,Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,400m freestyle,M,Bronze,,,,,#VALUE!,400m,Freestyle
60,60,Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,400m freestyle,M,Gold,,,,,#VALUE!,400m,Freestyle
61,61,Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,400m freestyle,M,Silver,"August 15, 1893",,19.0,,#VALUE!,400m,Freestyle
62,62,Antwerp,1920,Aquatics,Swimming,"BLITZ, Gerard",BEL,Men,100m backstroke,M,Bronze,28-Feb-12,,,,#VALUE!,100m,Backstroke
63,63,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold,,,,,#VALUE!,100m,Backstroke
64,64,Antwerp,1920,Aquatics,Swimming,"KEGERIS, Raymond",USA,Men,100m backstroke,M,Silver,10-Sep-01,170.18,18.0,,#VALUE!,100m,Backstroke
65,65,Antwerp,1920,Aquatics,Swimming,"HARRIS, William",USA,Men,100m freestyle,M,Bronze,"March 28, 1883",,37.0,,#VALUE!,100m,Freestyle
66,66,Antwerp,1920,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold,"August 24, 1890",185.42,30.0,,#VALUE!,100m,Freestyle
67,67,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Pua Kela",USA,Men,100m freestyle,M,Silver,14-Nov-02,,17.0,,#VALUE!,100m,Freestyle
68,68,Antwerp,1920,Aquatics,Swimming,"SCHROTH, Frances",USA,Women,100m freestyle,W,Bronze,"April 11, 1893",167.64,27.0,,#VALUE!,100m,Freestyle
69,69,Antwerp,1920,Aquatics,Swimming,"BLEIBTREY, Ethelda",USA,Women,100m freestyle,W,Gold,27-Feb-02,,18.0,,#VALUE!,100m,Freestyle
70,70,Antwerp,1920,Aquatics,Swimming,"GUEST, Irene",USA,Women,100m freestyle,W,Silver,,157.48,,,#VALUE!,100m,Freestyle
71,71,Antwerp,1920,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",AUS,Men,1500m freestyle,M,Bronze,"May 13, 1891",,29.0,,#VALUE!,1500m,Freestyle
72,72,Antwerp,1920,Aquatics,Swimming,"ROSS, Norman",USA,Men,1500m freestyle,M,Gold,"January 7, 1959 (age 57 years)",,,,#VALUE!,1500m,Freestyle
73,73,Antwerp,1920,Aquatics,Swimming,"VERNOT, George",CAN,Men,1500m freestyle,M,Silver,,152.4,,198,90,1500m,Freestyle
74,74,Antwerp,1920,Aquatics,Swimming,"AALTONEN, Arvo Ossian",FIN,Men,200m breaststroke,M,Bronze,"December 2, 1892",,27.0,,#VALUE!,200m,Breaststroke
75,75,Antwerp,1920,Aquatics,Swimming,"MALMROT, Hakan",SWE,Men,200m breaststroke,M,Gold,29-Nov-00,,19.0,,#VALUE!,200m,Breaststroke
76,76,Antwerp,1920,Aquatics,Swimming,"HENNING, Tor",SWE,Men,200m breaststroke,M,Silver,"April 4, 1979 (age 37 years)",187.96,,,#VALUE!,200m,Breaststroke
77,77,Antwerp,1920,Aquatics,Swimming,"VERNOT, George",CAN,Men,400m freestyle,M,Bronze,,152.4,,198,90,400m,Freestyle
78,78,Antwerp,1920,Aquatics,Swimming,"ROSS, Norman",USA,Men,400m freestyle,M,Gold,"January 7, 1959 (age 57 years)",,,,#VALUE!,400m,Freestyle
79,79,Antwerp,1920,Aquatics,Swimming,"LANGER, Ludy",USA,Men,400m freestyle,M,Silver,"January 22, 1893",175.26,27.0,161,73.18181818,400m,Freestyle
80,80,Antwerp,1920,Aquatics,Swimming,"SCHROTH, Frances",USA,Women,400m freestyle,W,Bronze,"April 11, 1893",167.64,27.0,,#VALUE!,400m,Freestyle
81,81,Antwerp,1920,Aquatics,Swimming,"BLEIBTREY, Ethelda",USA,Women,400m freestyle,W,Gold,27-Feb-02,,18.0,,#VALUE!,400m,Freestyle
82,82,Antwerp,1920,Aquatics,Swimming,"WOODBRIDGE, Margaret",USA,Women,400m freestyle,W,Silver,,170.18,,,#VALUE!,400m,Freestyle
83,83,Paris,1924,Aquatics,Swimming,"BARTHA, Istvàn",HUN,Men,100m backstroke,M,Bronze,,,,,#VALUE!,100m,Backstroke
84,84,Paris,1924,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold,,,,,#VALUE!,100m,Backstroke
85,85,Paris,1924,Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Silver,,182.88,,,#VALUE!,100m,Backstroke
86,86,Paris,1924,Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100m backstroke,W,Bronze,2-May-06,142.24,18.0,,#VALUE!,100m,Backstroke
87,87,Paris,1924,Aquatics,Swimming,"BAUER, Sybil",USA,Women,100m backstroke,W,Gold,18-Sep-03,,20.0,,#VALUE!,100m,Backstroke
88,88,Paris,1924,Aquatics,Swimming,"HARDING, Phyllis",GBR,Women,100m backstroke,W,Silver,15-Dec-07,,16.0,,#VALUE!,100m,Backstroke
89,89,Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100m freestyle,M,Bronze,4-Nov-02,,21.0,,#VALUE!,100m,Freestyle
90,90,Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold,2-Jun-04,190.5,20.0,,#VALUE!,100m,Freestyle
91,91,Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Silver,"August 24, 1890",185.42,34.0,,#VALUE!,100m,Freestyle
92,92,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100m freestyle,W,Bronze,23-Oct-05,167.64,18.0,141,64.09090909,100m,Freestyle
93,93,Paris,1924,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,100m freestyle,W,Gold,10-Feb-07,162.56,17.0,,#VALUE!,100m,Freestyle
94,94,Paris,1924,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,100m freestyle,W,Silver,15-May-06,,18.0,,#VALUE!,100m,Freestyle
95,95,Paris,1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,1500m freestyle,M,Bronze,"May 13, 1891",,33.0,143,65,1500m,Freestyle
96,96,Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500m freestyle,M,Gold,12-Aug-07,182.88,17.0,,#VALUE!,1500m,Freestyle
97,97,Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500m freestyle,M,Silver,,,,,#VALUE!,1500m,Freestyle
98,98,Paris,1924,Aquatics,Swimming,"KIRSHBAUM, William",USA,Men,200m breaststroke,M,Bronze,,,,,#VALUE!,200m,Breaststroke
99,99,Paris,1924,Aquatics,Swimming,"SKELTON, Robert",USA,Men,200m breaststroke,M,Gold,"October 4, 1896",,27.0,,#VALUE!,200m,Breaststroke
100,100,Paris,1924,Aquatics,Swimming,"DE COMBE, Joseph",BEL,Men,200m breaststroke,M,Silver,19-Jun-01,,23.0,,#VALUE!,200m,Breaststroke
101,101,Paris,1924,Aquatics,Swimming,"CARSON, Gladys",GBR,Women,200m breaststroke,W,Bronze,8-Feb-03,,21.0,,#VALUE!,200m,Breaststroke
102,102,Paris,1924,Aquatics,Swimming,"MORTON, Lucille",GBR,Women,200m breaststroke,W,Gold,6-Aug-11,170.18,13.0,,#VALUE!,200m,Breaststroke
103,103,Paris,1924,Aquatics,Swimming,"GERAGHTY, Agnes",USA,Women,200m breaststroke,W,Silver,,,,,#VALUE!,200m,Breaststroke
104,104,Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Bronze,,182.88,,,#VALUE!,400m,Freestyle
105,105,Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,400m freestyle,M,Gold,,190.5,,,#VALUE!,400m,Freestyle
106,106,Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,400m freestyle,M,Silver,,,,,#VALUE!,400m,Freestyle
107,107,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,400m freestyle,W,Bronze,,167.64,,141,64.09090909,400m,Freestyle
108,108,Paris,1924,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400m freestyle,W,Gold,,,,,#VALUE!,400m,Freestyle
109,109,Paris,1924,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,400m freestyle,W,Silver,15-Mar-06,154.94,18.0,,#VALUE!,400m,Freestyle
110,110,Amsterdam,1928,Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Bronze,,182.88,,,#VALUE!,100m,Backstroke
111,111,Amsterdam,1928,Aquatics,Swimming,"KOJAC, George Harold",USA,Men,100m backstroke,M,Gold,2-Mar-10,,18.0,,#VALUE!,100m,Backstroke
112,112,Amsterdam,1928,Aquatics,Swimming,"LAUFER, Walter",USA,Men,100m backstroke,M,Silver,5-Jul-06,,22.0,,#VALUE!,100m,Backstroke
113,113,Amsterdam,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",GBR,Women,100m backstroke,W,Bronze,,,,,#VALUE!,100m,Backstroke
114,114,Amsterdam,1928,Aquatics,Swimming,"BRAUN, Maria Johanna",NED,Women,100m backstroke,W,Gold,22-Jun-11,170.18,17.0,,#VALUE!,100m,Backstroke
115,115,Amsterdam,1928,Aquatics,Swimming,"KING, Ellen Elizabeth",GBR,Women,100m backstroke,W,Silver,16-Jan-09,,19.0,,#VALUE!,100m,Backstroke
116,116,Amsterdam,1928,Aquatics,Swimming,"TAKAISHI, Katsuo",JPN,Men,100m freestyle,M,Bronze,14-Oct-06,,21.0,,#VALUE!,100m,Freestyle
117,117,Amsterdam,1928,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold,2-Jun-04,190.5,24.0,,#VALUE!,100m,Freestyle
118,118,Amsterdam,1928,Aquatics,Swimming,"BARANY, Istvan",HUN,Men,100m freestyle,M,Silver,20-Dec-07,,20.0,,#VALUE!,100m,Freestyle
119,119,Amsterdam,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",GBR,Women,100m freestyle,W,Bronze,,,,,#VALUE!,100m,Freestyle
120,120,Amsterdam,1928,Aquatics,Swimming,"OSIPOWICH, Albina Lucy",USA,Women,100m freestyle,W,Gold,26-Feb-11,,17.0,,#VALUE!,100m,Freestyle
121,121,Amsterdam,1928,Aquatics,Swimming,"SAVILLE, Eleanor",USA,Women,100m freestyle,W,Silver,12-Jun-09,,19.0,,#VALUE!,100m,Freestyle
122,122,Amsterdam,1928,Aquatics,Swimming,"CRABBE, Clarence",USA,Men,1500m freestyle,M,Bronze,7-Feb-08,,20.0,,#VALUE!,1500m,Freestyle
123,123,Amsterdam,1928,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500m freestyle,M,Gold,,,,,#VALUE!,1500m,Freestyle
124,124,Amsterdam,1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500m freestyle,M,Silver,12-Aug-07,182.88,21.0,,#VALUE!,1500m,Freestyle
125,125,Amsterdam,1928,Aquatics,Swimming,"YLDEFONSO, Teofilo",PHI,Men,200m breaststroke,M,Bronze,5-Nov-02,170.18,25.0,,#VALUE!,200m,Breaststroke
126,126,Amsterdam,1928,Aquatics,Swimming,"TSURUTA, Yoshiyuki",JPN,Men,200m breaststroke,M,Gold,1-Oct-03,,24.0,,#VALUE!,200m,Breaststroke
127,127,Amsterdam,1928,Aquatics,Swimming,"RADEMACHER, Erich",GER,Men,200m breaststroke,M,Silver,9-Jun-01,,27.0,,#VALUE!,200m,Breaststroke
128,128,Amsterdam,1928,Aquatics,Swimming,"M HE, Charlotte",GER,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
129,129,Amsterdam,1928,Aquatics,Swimming,"SCHRADER, Hilde",GER,Women,200m breaststroke,W,Gold,4-Jan-10,,18.0,,#VALUE!,200m,Breaststroke
130,130,Amsterdam,1928,Aquatics,Swimming,"BARON, Mietje",NED,Women,200m breaststroke,W,Silver,,,,,#VALUE!,200m,Breaststroke
131,131,Amsterdam,1928,Aquatics,Swimming,"BORG, Arne",SWE,Men,400m freestyle,M,Bronze,,,,,#VALUE!,400m,Freestyle
132,132,Amsterdam,1928,Aquatics,Swimming,"ZORRILLA, Victoriano",ARG,Men,400m freestyle,M,Gold,11-Feb-06,,22.0,,#VALUE!,400m,Freestyle
133,133,Amsterdam,1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Silver,12-Aug-07,182.88,21.0,,#VALUE!,400m,Freestyle
134,134,Amsterdam,1928,Aquatics,Swimming,"MCKIM, Josephine E.",USA,Women,400m freestyle,W,Bronze,4-Jan-10,,18.0,,#VALUE!,400m,Freestyle
135,135,Amsterdam,1928,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400m freestyle,W,Gold,21-Jan-11,,17.0,,#VALUE!,400m,Freestyle
136,136,Amsterdam,1928,Aquatics,Swimming,"BRAUN, Maria Johanna",NED,Women,400m freestyle,W,Silver,22-Jun-11,170.18,17.0,,#VALUE!,400m,Freestyle
137,137,Los Angeles,1932,Aquatics,Swimming,"KAWATSU, Kentaro",JPN,Men,100m backstroke,M,Bronze,26-Sep-15,,16.0,,#VALUE!,100m,Backstroke
138,138,Los Angeles,1932,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Gold,11-Feb-13,,19.0,,#VALUE!,100m,Backstroke
139,139,Los Angeles,1932,Aquatics,Swimming,"IRIYE, Toshio",JPN,Men,100m backstroke,M,Silver,,,,,#VALUE!,100m,Backstroke
140,140,Los Angeles,1932,Aquatics,Swimming,"DAVIES, Elizabeth Valerie",GBR,Women,100m backstroke,W,Bronze,,,,,#VALUE!,100m,Backstroke
141,141,Los Angeles,1932,Aquatics,Swimming,"HOLM, Eleanor",USA,Women,100m backstroke,W,Gold,6-Dec-13,,18.0,,#VALUE!,100m,Backstroke
142,142,Los Angeles,1932,Aquatics,Swimming,"MEALING, Philomenia Alecia",AUS,Women,100m backstroke,W,Silver,,,,,#VALUE!,100m,Backstroke
143,143,Los Angeles,1932,Aquatics,Swimming,"SCHWARTZ, Albert",USA,Men,100m freestyle,M,Bronze,21-Dec-07,,24.0,,#VALUE!,100m,Freestyle
144,144,Los Angeles,1932,Aquatics,Swimming,"MIOYAZAKI, Yasuji",JPN,Men,100m freestyle,M,Gold,15-Oct-16,,15.0,,#VALUE!,100m,Freestyle
145,145,Los Angeles,1932,Aquatics,Swimming,"KAWAISHI, Tatsugo",JPN,Men,100m freestyle,M,Silver,10-Dec-11,,20.0,,#VALUE!,100m,Freestyle
146,146,Los Angeles,1932,Aquatics,Swimming,"SAVILLE, Eleanor",USA,Women,100m freestyle,W,Bronze,12-Jun-09,,23.0,,#VALUE!,100m,Freestyle
147,147,Los Angeles,1932,Aquatics,Swimming,"MADISON, Helene",USA,Women,100m freestyle,W,Gold,19-Jun-13,,19.0,,#VALUE!,100m,Freestyle
148,148,Los Angeles,1932,Aquatics,Swimming,"DEN OUDEN, Willemyntje (Willy)",NED,Women,100m freestyle,W,Silver,1-Jan-18,162.56,14.0,,#VALUE!,100m,Freestyle
149,149,Los Angeles,1932,Aquatics,Swimming,"CRISTY, James Crapo Jr.",USA,Men,1500m freestyle,M,Bronze,22-Jan-13,,19.0,,#VALUE!,1500m,Freestyle
150,150,Los Angeles,1932,Aquatics,Swimming,"KITAMURA, Kusuo",JPN,Men,1500m freestyle,M,Gold,19-Oct-17,,14.0,,#VALUE!,1500m,Freestyle
151,151,Los Angeles,1932,Aquatics,Swimming,"MAKINO, Shozo",JPN,Men,1500m freestyle,M,Silver,"September 22, 1878",154.94,53.0,119,54.09090909,1500m,Freestyle
152,152,Los Angeles,1932,Aquatics,Swimming,"YLDEFONSO, Teofilo",PHI,Men,200m breaststroke,M,Bronze,5-Nov-02,170.18,29.0,,#VALUE!,200m,Breaststroke
153,153,Los Angeles,1932,Aquatics,Swimming,"TSURUTA, Yoshiyuki",JPN,Men,200m breaststroke,M,Gold,1-Oct-03,,28.0,,#VALUE!,200m,Breaststroke
154,154,Los Angeles,1932,Aquatics,Swimming,"KOIKE, Reizo",JPN,Men,200m breaststroke,M,Silver,12-Dec-15,,16.0,,#VALUE!,200m,Breaststroke
155,155,Los Angeles,1932,Aquatics,Swimming,"JACOBSEN, Else Agnes Ella",DEN,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
156,156,Los Angeles,1932,Aquatics,Swimming,"DENNIS, Clare",AUS,Women,200m breaststroke,W,Gold,,,,,#VALUE!,200m,Breaststroke
157,157,Los Angeles,1932,Aquatics,Swimming,"MAEHATA, Hideko",JPN,Women,200m breaststroke,W,Silver,20-May-14,,18.0,,#VALUE!,200m,Breaststroke
158,158,Los Angeles,1932,Aquatics,Swimming,"OYOKOTA, Tsutomu",JPN,Men,400m freestyle,M,Bronze,"April 20, 1913 (age 103 years)",,,,#VALUE!,400m,Freestyle
159,159,Los Angeles,1932,Aquatics,Swimming,"CRABBE, Clarence",USA,Men,400m freestyle,M,Gold,7-Feb-08,,24.0,,#VALUE!,400m,Freestyle
160,160,Los Angeles,1932,Aquatics,Swimming,"TARIS, Jean",FRA,Men,400m freestyle,M,Silver,6-Jul-09,177.8,23.0,,#VALUE!,400m,Freestyle
