,Year,Event,Athlete,Gender,DOB,height,DOB1,Medal,Age
17,2003,50 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Bronze,25.4849315068
18,2005,50 metre freestyle,Roland Schoeman,Men,"July 3, 1980 (age 36 years)",190.5,"July 3, 1980",Gold,25.1808219178
19,2005,50 metre freestyle,Duje Draganja,Men,"February 27, 1983 (age 33 years)",195.58,"February 27, 1983",Silver,22.5260273973
20,2005,50 metre freestyle,Bartosz Kizierowski,Men,"February 20, 1977 (age 39 years)",187.96,"February 20, 1977",Bronze,
21,2007,50 metre freestyle,Benjamin Wildman,Men,"September 21, 1984 (age 32 years)",193.04,"September 21, 1984",Gold,22.9589041096
22,2007,50 metre freestyle,Cullen Jones,Men,"February 29, 1984 (age 32 years)",195.58,"February 29, 1984",Silver,23.5205479452
23,2007,50 metre freestyle,Stefan Nystrand,Men,"October 20, 1981 (age 35 years)",193.04,"October 20, 1981",Bronze,25.8821917808
24,2009,50 metre freestyle,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,22.6575342466
25,2009,50 metre freestyle,Frdrick Bousquet,Men,"April 8, 1981 (age 35 years)",187.96,"April 8, 1981",Silver,
26,2009,50 metre freestyle,Amaury Leveaux,Men,"December 2, 1985 (age 30 years)",203.2,"December 2, 1985",Bronze,23.7643835616
27,2011,50 metre freestyle,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,24.6575342466
28,2011,50 metre freestyle,Luca Dotto,Men,"April 18, 1990 (age 26 years)",190.5,"April 18, 1990",Silver,21.3863013699
29,2011,50 metre freestyle,Alain Bernard,Men,"May 1, 1983 (age 33 years)",195.58,"May 1, 1983",Bronze,
30,2013,50 metre freestyle,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,26.6602739726
31,2013,50 metre freestyle,Vladimir Morozov,Men,"June 16, 1992 (age 24 years)",185.42,"June 16, 1992",Silver,21.2246575342
32,2013,50 metre freestyle,George Bovell,Men,"July 18, 1983 (age 33 years)",195.58,"July 18, 1983",Bronze,
33,2015,50 metre freestyle,Florent Manaudou,Men,"November 12, 1990 (age 26 years)",198.12,"November 12, 1990",Gold,24.8191780822
34,2015,50 metre freestyle,Nathan Adrian,Men,"December 7, 1988 (age 27 years)",198.12,"December 7, 1988",Silver,26.7506849315
35,2015,50 metre freestyle,Bruno Fratus,Men,"June 30, 1989 (age 27 years)",187.96,"June 30, 1989",Bronze,26.1890410959
36,1973,100 metre freestyle,Jim Montgomery,Men,"June 30, 1969 (age 47 years)",180.34,"June 30, 1969",Gold,
37,1973,100 metre freestyle,Michel Rousseau,Men,"February 5, 1936",180.34,"February 5, 193",Silver,
38,1973,100 metre freestyle,Michael Wenden,Men,"November 17, 1949 (age 67 years)",182.88,"November 17, 1949",Bronze,23.8054794521
39,1975,100 metre freestyle,Andy Coan,Men,"June 2, 1968 (age 48 years)",175.26,"June 2, 1968",Gold,
40,1975,100 metre freestyle,Vladimir Bure,Men,"December 4, 1950 (age 65 years)",180.34,"December 4, 1950",Silver,24.7589041096
41,1975,100 metre freestyle,Jim Montgomery,Men,"June 30, 1969 (age 47 years)",180.34,"June 30, 1969",Bronze,
42,1978,100 metre freestyle,David McCagg,Men,"December 11, 1990 (age 25 years)",,"December 11, 1990",Gold,
43,1978,100 metre freestyle,Jim Montgomery,Men,"June 30, 1969 (age 47 years)",180.34,"June 30, 1969",Silver,
44,1978,100 metre freestyle,Klaus Steinbach,Men,"December 14, 1953 (age 62 years)",,"December 14, 1953",Bronze,24.7315068493
45,1982,100 metre freestyle,Jrg Woithe,Men,,,N,Gold,
46,1982,100 metre freestyle,Rowdy Gaines,Men,"February 17, 1959 (age 57 years)",185.42,"February 17, 1959",Silver,23.5534246575
47,1982,100 metre freestyle,Per Johansson,Men,"May 6, 1978 (age 38 years)",193.04,"May 6, 1978",Bronze,
48,1986,100 metre freestyle,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Gold,20.9123287671
49,1986,100 metre freestyle,Stphan Caron,Men,"July 1, 1966 (age 50 years)",,"July 1, 1966",Silver,20.1835616438
50,1986,100 metre freestyle,Tom Jager,Men,"October 6, 1964 (age 52 years)",190.5,"October 6, 1964",Bronze,21.9178082192
51,1991,100 metre freestyle,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Gold,25.9150684932
52,1991,100 metre freestyle,Tommy Werner,Men,"April 12, 1950 (age 66 years)",190.5,"April 12, 1950",Silver,
53,1991,100 metre freestyle,Giorgio Lamberti,Men,"January 28, 1969 (age 47 years)",182.88,"January 28, 1969",Bronze,22.6054794521
54,1994,100 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Gold,22.8082191781
55,1994,100 metre freestyle,"Gary Hall, Jr.",Men,"September 26, 1974 (age 42 years)",198.12,"September 26, 1974",Silver,19.9452054795
56,1994,100 metre freestyle,Gustavo Borges,Men,"December 2, 1972 (age 43 years)",203.2,"December 2, 1972",Bronze,21.7616438356
57,1998,100 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Gold,26.8109589041
58,1998,100 metre freestyle,Michael Klim,Men,"August 13, 1977 (age 39 years)",190.5,"August 13, 1977",Silver,21.0657534247
59,1998,100 metre freestyle,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Bronze,24.2849315068
60,2001,100 metre freestyle,Anthony Ervin,Men,"May 26, 1981 (age 35 years)",190.5,"May 26, 1981",Gold,20.2821917808
61,2001,100 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,23.4849315068
62,2001,100 metre freestyle,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Bronze,27.2876712329
63,2003,100 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Gold,
64,2003,100 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,25.4849315068
65,2003,100 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Bronze,20.898630137
66,2005,100 metre freestyle,Filippo Magnini,Men,"February 2, 1982 (age 34 years)",187.96,"February 2, 1982",Gold,23.5945205479
67,2005,100 metre freestyle,Roland Schoeman,Men,"July 3, 1980 (age 36 years)",190.5,"July 3, 1980",Silver,25.1808219178
68,2005,100 metre freestyle,Ryk Neethling,Men,"November 17, 1977 (age 39 years)",,"November 17, 1977",Bronze,
69,2007,100 metre freestyle,Filippo Magnini,Men,"February 2, 1982 (age 34 years)",187.96,"February 2, 1982",Gold,25.5945205479
70,2007,100 metre freestyle,Eamon Sullivan,Men,"August 30, 1985 (age 31 years)",187.96,"August 30, 1985",Bronze,22.0191780822
71,2009,100 metre freestyle,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,22.6575342466
72,2009,100 metre freestyle,Alain Bernard,Men,"May 1, 1983 (age 33 years)",195.58,"May 1, 1983",Silver,26.3561643836
73,2009,100 metre freestyle,Frdrick Bousquet,Men,"April 8, 1981 (age 35 years)",187.96,"April 8, 1981",Bronze,
74,2011,100 metre freestyle,James Magnussen,Men,"April 11, 1991 (age 25 years)",198.12,"April 11, 1991",Gold,20.4054794521
75,2011,100 metre freestyle,Brent Hayden,Men,"October 21, 1983 (age 33 years)",193.04,"October 21, 1983",Silver,
76,2011,100 metre freestyle,William Meynard,Men,"July 11, 1987 (age 29 years)",190.5,"July 11, 1987",Bronze,24.1589041096
77,2013,100 metre freestyle,James Magnussen,Men,"April 11, 1991 (age 25 years)",198.12,"April 11, 1991",Gold,22.4082191781
78,2013,100 metre freestyle,Jimmy Feigen,Men,"September 26, 1989 (age 27 years)",195.58,"September 26, 1989",Silver,23.9479452055
79,2013,100 metre freestyle,Nathan Adrian,Men,"December 7, 1988 (age 27 years)",198.12,"December 7, 1988",Bronze,24.7506849315
80,2015,100 metre freestyle,Ning Zetao,Men,"March 6, 1993 (age 23 years)",190.5,"March 6, 1993",Gold,22.504109589
81,2015,100 metre freestyle,Cameron McEvoy,Men,"May 13, 1994 (age 22 years)",185.42,"May 13, 1994",Silver,21.3178082192
82,2015,100 metre freestyle,Federico Grabich,Men,"March 26, 1990 (age 26 years)",193.04,"March 26, 1990",Bronze,25.4520547945
83,1973,200 metre freestyle,Jim Montgomery,Men,"June 30, 1969 (age 47 years)",180.34,"June 30, 1969",Gold,
84,1973,200 metre freestyle,Kurt Krumpholz,Men,,,N,Silver,
85,1973,200 metre freestyle,Roger Pyttel,Men,"May 8, 1957 (age 59 years)",175.26,"May 8, 1957",Bronze,16.3287671233
86,1975,200 metre freestyle,Timothy Shaw,Men,"March 27, 1984 (age 32 years)",195.58,"March 27, 1984",Gold,
87,1975,200 metre freestyle,Bruce Furniss,Men,"May 27, 1957 (age 59 years)",182.88,"May 27, 1957",Silver,18.2767123288
88,1975,200 metre freestyle,Brian Brinkley,Men,"December 28, 1953 (age 62 years)",190.5,"December 28, 1953",Bronze,21.6904109589
89,1978,200 metre freestyle,Bill Forrester,Men,"December 18, 1957 (age 58 years)",180.34,"December 18, 1957",Gold,20.7178082192
90,1978,200 metre freestyle,Rowdy Gaines,Men,"February 17, 1959 (age 57 years)",185.42,"February 17, 1959",Silver,19.5506849315
91,1978,200 metre freestyle,Sergey Koplyakov,Men,"January 23, 1959 (age 57 years)",,"January 23, 1959",Bronze,19.6191780822
92,1982,200 metre freestyle,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Gold,
93,1982,200 metre freestyle,Rowdy Gaines,Men,"February 17, 1959 (age 57 years)",185.42,"February 17, 1959",Silver,23.5534246575
94,1982,200 metre freestyle,Jrg Woithe,Men,,,N,Bronze,
95,1986,200 metre freestyle,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Gold,
96,1986,200 metre freestyle,Sven Lodziewski,Men,"March 17, 1965 (age 51 years)",203.2,"March 17, 1965",Silver,21.4739726027
97,1986,200 metre freestyle,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Bronze,20.9123287671
98,1991,200 metre freestyle,Giorgio Lamberti,Men,"January 28, 1969 (age 47 years)",182.88,"January 28, 1969",Gold,22.6054794521
99,1991,200 metre freestyle,Steffen Zesner,Men,"September 28, 1967 (age 49 years)",185.42,"September 28, 1967",Silver,23.9424657534
100,1991,200 metre freestyle,Artur Wojdat,Men,"May 20, 1968 (age 48 years)",193.04,"May 20, 1968",Bronze,23.298630137
101,1994,200 metre freestyle,Antti Kasvio,Men,"December 20, 1973 (age 42 years)",,"December 20, 1973",Gold,20.7123287671
102,1994,200 metre freestyle,Anders Holmertz,Men,"December 1, 1968 (age 48 years)",185.42,"December 1, 1968",Silver,25.7671232877
103,1994,200 metre freestyle,Danyon Loader,Men,"April 21, 1975 (age 41 years)",187.96,"April 21, 1975",Bronze,19.3780821918
104,1998,200 metre freestyle,Michael Klim,Men,"August 13, 1977 (age 39 years)",190.5,"August 13, 1977",Gold,21.0657534247
105,1998,200 metre freestyle,Massimiliano Rosolino,Men,"July 11, 1978 (age 38 years)",193.04,"July 11, 1978",Silver,20.1561643836
106,1998,200 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Bronze,20.4821917808
107,2001,200 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,18.898630137
108,2001,200 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,23.4849315068
109,2001,200 metre freestyle,Klete Keller,Men,"March 21, 1982 (age 34 years)",198.12,"March 21, 1982",Bronze,19.4630136986
110,2003,200 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,20.898630137
111,2003,200 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,25.4849315068
112,2003,200 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Bronze,23.3287671233
113,2005,200 metre freestyle,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,20.1863013699
114,2005,200 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,25.3315068493
115,2005,200 metre freestyle,Ryk Neethling,Men,"November 17, 1977 (age 39 years)",,"November 17, 1977",Bronze,
116,2007,200 metre freestyle,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,22.1863013699
117,2007,200 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,
118,2007,200 metre freestyle,Park Tae-hwan,Men,"September 27, 1989 (age 27 years)",182.88,"September 27, 1989",Bronze,17.9397260274
119,2009,200 metre freestyle,Paul Biedermann,Men,"August 7, 1986 (age 30 years)",193.04,"August 7, 1986",Gold,23.0849315068
120,2009,200 metre freestyle,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Silver,24.1890410959
121,2009,200 metre freestyle,Danila Izotov,Men,"October 2, 1991 (age 25 years)",193.04,"October 2, 1991",Bronze,17.9287671233
122,2011,200 metre freestyle,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,27.095890411
123,2011,200 metre freestyle,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Silver,26.1890410959
124,2011,200 metre freestyle,Paul Biedermann,Men,"August 7, 1986 (age 30 years)",193.04,"August 7, 1986",Bronze,25.0849315068
125,2013,200 metre freestyle,Yannick Agnel,Men,"June 9, 1992 (age 24 years)",203.2,"June 9, 1992",Gold,21.2438356164
126,2013,200 metre freestyle,Conor Dwyer,Men,"January 10, 1989 (age 27 years)",195.58,"January 10, 1989",Silver,24.6575342466
127,2013,200 metre freestyle,Danila Izotov,Men,"October 2, 1991 (age 25 years)",193.04,"October 2, 1991",Bronze,21.9315068493
128,2015,200 metre freestyle,James Guy,Men,"November 26, 1995 (age 21 years)",187.96,"November 26, 1995",Gold,19.7780821918
129,2015,200 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Silver,23.7671232877
130,2015,200 metre freestyle,Paul Biedermann,Men,"August 7, 1986 (age 30 years)",193.04,"August 7, 1986",Bronze,
131,1973,400 metre freestyle,Rick DeMont,Men,"April 21, 1956 (age 60 years)",180.34,"April 21, 1956",Gold,17.3753424658
132,1973,400 metre freestyle,Brad Cooper,Men,"January 5, 1975 (age 41 years)",185.42,"January 5, 1975",Silver,
133,1973,400 metre freestyle,Bengt Gingsj,Men,,,N,Bronze,
134,1975,400 metre freestyle,Timothy Shaw,Men,"March 27, 1984 (age 32 years)",195.58,"March 27, 1984",Gold,
135,1975,400 metre freestyle,Bruce Furniss,Men,"May 27, 1957 (age 59 years)",182.88,"May 27, 1957",Silver,18.2767123288
136,1975,400 metre freestyle,Frank Pftze,Men,,,N,Bronze,
137,1978,400 metre freestyle,Vladimir Salnikov,Men,"May 21, 1960 (age 56 years)",180.34,"May 21, 1960",Gold,18.2931506849
138,1978,400 metre freestyle,Jeff Float,Men,"April 10, 1960 (age 56 years)",190.5,"April 10, 1960",Silver,18.4054794521
139,1978,400 metre freestyle,Bill Forrester,Men,"December 18, 1957 (age 58 years)",180.34,"December 18, 1957",Bronze,20.7178082192
140,1982,400 metre freestyle,Vladimir Salnikov,Men,"May 21, 1960 (age 56 years)",180.34,"May 21, 1960",Gold,22.295890411
141,1982,400 metre freestyle,Svyatoslav Semenov,Men,"February 2, 1962 (age 54 years)",,"February 2, 1962",Silver,20.5917808219
142,1982,400 metre freestyle,Sven Lodziewski,Men,"March 17, 1965 (age 51 years)",203.2,"March 17, 1965",Bronze,17.4712328767
143,1986,400 metre freestyle,Rainer Henkel,Men,"February 27, 1964 (age 52 years)",198.12,"February 27, 1964",Gold,22.5260273973
144,1986,400 metre freestyle,Uwe Daler,Men,,,N,Silver,
145,1986,400 metre freestyle,Dan Jorgensen,Men,"June 12, 1975 (age 41 years)",190.5,"June 12, 1975",Bronze,
146,1991,400 metre freestyle,Jrg Hoffmann,Men,,,N,Gold,
147,1991,400 metre freestyle,Stefan Pfeiffer,Men,"November 15, 1965 (age 51 years)",190.5,"November 15, 1965",Silver,25.8109589041
148,1991,400 metre freestyle,Artur Wojdat,Men,"May 20, 1968 (age 48 years)",193.04,"May 20, 1968",Bronze,23.298630137
149,1994,400 metre freestyle,Kieren Perkins,Men,"August 14, 1973 (age 43 years)",193.04,"August 14, 1973",Gold,21.0630136986
150,1994,400 metre freestyle,Antti Kasvio,Men,"December 20, 1973 (age 42 years)",,"December 20, 1973",Silver,20.7123287671
151,1994,400 metre freestyle,Danyon Loader,Men,"April 21, 1975 (age 41 years)",187.96,"April 21, 1975",Bronze,19.3780821918
152,1998,400 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,15.895890411
153,1998,400 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,18.3260273973
154,1998,400 metre freestyle,Paul Palmer,Men,"October 14, 1964 (age 52 years)",175.26,"October 14, 1964",Bronze,
155,2001,400 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,18.898630137
156,2001,400 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,21.3287671233
157,2001,400 metre freestyle,Emiliano Brembilla,Men,"December 21, 1978 (age 37 years)",185.42,"December 21, 1978",Bronze,22.7123287671
158,2003,400 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,20.898630137
159,2003,400 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,23.3287671233
160,2003,400 metre freestyle,Drago Coman,Men,"October 16, 1980 (age 36 years)",182.88,"October 16, 1980",Bronze,22.8904109589
161,2005,400 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,25.3315068493
162,2005,400 metre freestyle,Yury Prilukov,Men,"June 14, 1984 (age 32 years)",187.96,"June 14, 1984",Silver,21.2301369863
163,2005,400 metre freestyle,Oussama Mellouli,Men,"February 16, 1984 (age 32 years)",193.04,"February 16, 1984",Bronze,21.5561643836
164,2007,400 metre freestyle,Park Tae-hwan,Men,"September 27, 1989 (age 27 years)",182.88,"September 27, 1989",Gold,17.9397260274
165,2007,400 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,27.3315068493
166,2007,400 metre freestyle,Yury Prilukov,Men,"June 14, 1984 (age 32 years)",187.96,"June 14, 1984",Bronze,23.2301369863
167,2009,400 metre freestyle,Paul Biedermann,Men,"August 7, 1986 (age 30 years)",193.04,"August 7, 1986",Gold,23.0849315068
168,2009,400 metre freestyle,Oussama Mellouli,Men,"February 16, 1984 (age 32 years)",193.04,"February 16, 1984",Silver,25.5589041096
169,2009,400 metre freestyle,Zhang Lin,Men,"January 6, 1987 (age 29 years)",187.96,"January 6, 1987",Bronze,22.6684931507
170,2011,400 metre freestyle,Park Tae-hwan,Men,"September 27, 1989 (age 27 years)",182.88,"September 27, 1989",Gold,21.9424657534
171,2011,400 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Silver,19.7643835616
172,2011,400 metre freestyle,Paul Biedermann,Men,"August 7, 1986 (age 30 years)",193.04,"August 7, 1986",Bronze,25.0849315068
173,2013,400 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,21.7671232877
174,2013,400 metre freestyle,Kosuke Hagino,Men,"August 15, 1994 (age 22 years)",177.8,"August 15, 1994",Silver,19.0602739726
175,2013,400 metre freestyle,Connor Jaeger,Men,"April 30, 1991 (age 25 years)",185.42,"April 30, 1991",Bronze,22.3561643836
176,2015,400 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,23.7671232877
177,2015,400 metre freestyle,James Guy,Men,"November 26, 1995 (age 21 years)",187.96,"November 26, 1995",Silver,19.7780821918
178,2015,400 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Bronze,26.8575342466
179,2001,800 metre freestyle,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Gold,18.898630137
180,2001,800 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Silver,21.3287671233
181,2001,800 metre freestyle,Graeme Smith,Men,"February 1, 1981 (age 35 years)",190.5,"February 1, 1981",Bronze,20.5945205479
182,2003,800 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,23.3287671233
183,2003,800 metre freestyle,Larsen Jensen,Men,"September 1, 1985 (age 31 years)",182.88,"September 1, 1985",Silver,18.0109589041
184,2003,800 metre freestyle,Igor Chervynskyi,Men,"December 16, 1981 (age 34 years)",180.34,"December 16, 1981",Bronze,21.7232876712
185,2005,800 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,25.3315068493
186,2005,800 metre freestyle,Larsen Jensen,Men,"September 1, 1985 (age 31 years)",182.88,"September 1, 1985",Silver,20.0136986301
187,2005,800 metre freestyle,Yury Prilukov,Men,"June 14, 1984 (age 32 years)",187.96,"June 14, 1984",Bronze,21.2301369863
188,2007,800 metre freestyle,Przemysaw Staczyk,Men,"February 12, 1985 (age 31 years)",185.42,"February 12, 1985",Gold,22.5643835616
189,2007,800 metre freestyle,Craig Stevens,Men,"July 8, 1918",193.04,"July 8, 191",Silver,
190,2007,800 metre freestyle,Federico Colbertaldo,Men,"October 17, 1988 (age 28 years)",177.8,"October 17, 1988",Bronze,18.8849315068
191,2009,800 metre freestyle,Zhang Lin,Men,"January 6, 1987 (age 29 years)",187.96,"January 6, 1987",Gold,22.6684931507
192,2009,800 metre freestyle,Oussama Mellouli,Men,"February 16, 1984 (age 32 years)",193.04,"February 16, 1984",Silver,25.5589041096
193,2009,800 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Bronze,20.8547945205
194,2011,800 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,19.7643835616
195,2011,800 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Silver,22.8547945205
196,2011,800 metre freestyle,Gerg Kis,Men,,,N,Bronze,
197,2013,800 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,21.7671232877
198,2013,800 metre freestyle,Michael McBroom,Men,"May 16, 1991 (age 25 years)",187.96,"May 16, 1991",Silver,22.3123287671
199,2013,800 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Bronze,24.8575342466
200,2015,800 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,23.7671232877
201,2015,800 metre freestyle,Gregorio Paltrinieri,Men,"September 5, 1994 (age 22 years)",190.5,"September 5, 1994",Silver,21.002739726
202,2015,800 metre freestyle,Mack Horton,Men,"April 25, 1996 (age 20 years)",190.5,"April 25, 1996",Bronze,19.3643835616
203,1973,1500 metre freestyle,Stephen Holland,Men,1941,,194,Gold,
204,1973,1500 metre freestyle,Rick DeMont,Men,"April 21, 1956 (age 60 years)",180.34,"April 21, 1956",Silver,17.3753424658
205,1973,1500 metre freestyle,Brad Cooper,Men,"January 5, 1975 (age 41 years)",185.42,"January 5, 1975",Bronze,
206,1975,1500 metre freestyle,Timothy Shaw,Men,"March 27, 1984 (age 32 years)",195.58,"March 27, 1984",Gold,
207,1975,1500 metre freestyle,Brian Goodell,Men,"April 2, 1959 (age 57 years)",172.72,"April 2, 1959",Silver,16.4273972603
208,1975,1500 metre freestyle,David Parker,Men,1960,,196,Bronze,
209,1978,1500 metre freestyle,Vladimir Salnikov,Men,"May 21, 1960 (age 56 years)",180.34,"May 21, 1960",Gold,18.2931506849
210,1978,1500 metre freestyle,Borut Petri,Men,,,N,Silver,
211,1978,1500 metre freestyle,Bobby Hackett,Men,"January 13, 1915",187.96,"January 13, 191",Bronze,
212,1982,1500 metre freestyle,Vladimir Salnikov,Men,"May 21, 1960 (age 56 years)",180.34,"May 21, 1960",Gold,22.295890411
213,1982,1500 metre freestyle,Svyatoslav Semenov,Men,"February 2, 1962 (age 54 years)",,"February 2, 1962",Silver,20.5917808219
214,1982,1500 metre freestyle,Darjan Petric,Men,"August 24, 1964 (age 52 years)",,"August 24, 1964",Bronze,18.0328767123
215,1986,1500 metre freestyle,Rainer Henkel,Men,"February 27, 1964 (age 52 years)",198.12,"February 27, 1964",Gold,22.5260273973
