,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal,DOB,height,age,weight_lbs,weight_kg
36,London,1908,Aquatics,Swimming,"TAYLOR, Henry",GBR,Men,1500m freestyle,M,Gold,"June 21, 1942 (age 74 years)",NA,NA,146,66.36363636
37,London,1908,Aquatics,Swimming,"BATTERSBY, Thomas Sidney",GBR,Men,1500m freestyle,M,Silver,"November 18, 1887",NA,20,NA,#VALUE!
38,London,1908,Aquatics,Swimming,"HANSSON, Pontus",SWE,Men,200m breaststroke,M,Bronze,"May 24, 1894",NA,14,NA,#VALUE!
39,London,1908,Aquatics,Swimming,"HOLMAN, Frederick",GBR,Men,200m breaststroke,M,Gold,March 1883,177.8,25,157,71.36363636
40,London,1908,Aquatics,Swimming,"ROBINSON, William Walter",GBR,Men,200m breaststroke,M,Silver,NA,NA,NA,NA,#VALUE!
41,London,1908,Aquatics,Swimming,"SCHEFF, Otto",AUT,Men,400m freestyle,M,Bronze,"December 12, 1889",NA,18,NA,#VALUE!
42,London,1908,Aquatics,Swimming,"TAYLOR, Henry",GBR,Men,400m freestyle,M,Gold,"June 21, 1942 (age 74 years)",NA,NA,146,66.36363636
43,London,1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Men,400m freestyle,M,Silver,"May 13, 1891",NA,17,NA,#VALUE!
44,Stockholm,1912,Aquatics,Swimming,"KELLNER, Paul",GER,Men,100m backstroke,M,Bronze,"June 6, 1890",NA,22,NA,#VALUE!
45,Stockholm,1912,Aquatics,Swimming,"HEBNER, Harry J.",USA,Men,100m backstroke,M,Gold,NA,NA,NA,NA,#VALUE!
46,Stockholm,1912,Aquatics,Swimming,"FAHR, Otto",GER,Men,100m backstroke,M,Silver,"August 19, 1892",NA,20,NA,#VALUE!
47,Stockholm,1912,Aquatics,Swimming,"HUSZAGH, Kenneth",USA,Men,100m freestyle,M,Bronze,"September 3, 1891",NA,21,NA,#VALUE!
48,Stockholm,1912,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold,"August 24, 1890",185.42,22,NA,#VALUE!
49,Stockholm,1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Men,100m freestyle,M,Silver,"November 28, 1881",NA,30,NA,#VALUE!
50,Stockholm,1912,Aquatics,Swimming,"FLETCHER, Jennie",GBR,Women,100m freestyle,W,Bronze,"March 19, 1890",NA,22,NA,#VALUE!
51,Stockholm,1912,Aquatics,Swimming,"DURACK, Fanny",ANZ,Women,100m freestyle,W,Gold,"October 27, 1889",NA,22,NA,#VALUE!
52,Stockholm,1912,Aquatics,Swimming,"WYLIE, Wilhelmina",ANZ,Women,100m freestyle,W,Silver,"June 27, 1891",NA,21,NA,#VALUE!
53,Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,1500m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
54,Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,1500m freestyle,M,Gold,NA,NA,NA,NA,#VALUE!
55,Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,1500m freestyle,M,Silver,"August 15, 1893",NA,19,NA,#VALUE!
56,Stockholm,1912,Aquatics,Swimming,"MALISCH, Kurt Paul",GER,Men,200m breaststroke,M,Bronze,NA,NA,NA,NA,#VALUE!
57,Stockholm,1912,Aquatics,Swimming,"BATHE, Walter",GER,Men,200m breaststroke,M,Gold,"December 1, 1892",NA,19,NA,#VALUE!
58,Stockholm,1912,Aquatics,Swimming,"L TZOW, Willy",GER,Men,200m breaststroke,M,Silver,NA,NA,NA,NA,#VALUE!
59,Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,400m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
60,Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,400m freestyle,M,Gold,NA,NA,NA,NA,#VALUE!
61,Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,400m freestyle,M,Silver,"August 15, 1893",NA,19,NA,#VALUE!
62,Antwerp,1920,Aquatics,Swimming,"BLITZ, Gerard",BEL,Men,100m backstroke,M,Bronze,28-Feb-12,NA,NA,NA,#VALUE!
63,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold,NA,NA,NA,NA,#VALUE!
64,Antwerp,1920,Aquatics,Swimming,"KEGERIS, Raymond",USA,Men,100m backstroke,M,Silver,10-Sep-01,170.18,18,NA,#VALUE!
65,Antwerp,1920,Aquatics,Swimming,"HARRIS, William",USA,Men,100m freestyle,M,Bronze,"March 28, 1883",NA,37,NA,#VALUE!
66,Antwerp,1920,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold,"August 24, 1890",185.42,30,NA,#VALUE!
67,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Pua Kela",USA,Men,100m freestyle,M,Silver,14-Nov-02,NA,17,NA,#VALUE!
68,Antwerp,1920,Aquatics,Swimming,"SCHROTH, Frances",USA,Women,100m freestyle,W,Bronze,"April 11, 1893",167.64,27,NA,#VALUE!
69,Antwerp,1920,Aquatics,Swimming,"BLEIBTREY, Ethelda",USA,Women,100m freestyle,W,Gold,27-Feb-02,NA,18,NA,#VALUE!
70,Antwerp,1920,Aquatics,Swimming,"GUEST, Irene",USA,Women,100m freestyle,W,Silver,NA,157.48,NA,NA,#VALUE!
71,Antwerp,1920,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",AUS,Men,1500m freestyle,M,Bronze,"May 13, 1891",NA,29,NA,#VALUE!
72,Antwerp,1920,Aquatics,Swimming,"ROSS, Norman",USA,Men,1500m freestyle,M,Gold,"January 7, 1959 (age 57 years)",NA,NA,NA,#VALUE!
73,Antwerp,1920,Aquatics,Swimming,"VERNOT, George",CAN,Men,1500m freestyle,M,Silver,NA,152.4,NA,198,90
74,Antwerp,1920,Aquatics,Swimming,"AALTONEN, Arvo Ossian",FIN,Men,200m breaststroke,M,Bronze,"December 2, 1892",NA,27,NA,#VALUE!
75,Antwerp,1920,Aquatics,Swimming,"MALMROT, Hakan",SWE,Men,200m breaststroke,M,Gold,29-Nov-00,NA,19,NA,#VALUE!
76,Antwerp,1920,Aquatics,Swimming,"HENNING, Tor",SWE,Men,200m breaststroke,M,Silver,"April 4, 1979 (age 37 years)",187.96,NA,NA,#VALUE!
77,Antwerp,1920,Aquatics,Swimming,"VERNOT, George",CAN,Men,400m freestyle,M,Bronze,NA,152.4,NA,198,90
78,Antwerp,1920,Aquatics,Swimming,"ROSS, Norman",USA,Men,400m freestyle,M,Gold,"January 7, 1959 (age 57 years)",NA,NA,NA,#VALUE!
79,Antwerp,1920,Aquatics,Swimming,"LANGER, Ludy",USA,Men,400m freestyle,M,Silver,"January 22, 1893",175.26,27,161,73.18181818
80,Antwerp,1920,Aquatics,Swimming,"SCHROTH, Frances",USA,Women,400m freestyle,W,Bronze,"April 11, 1893",167.64,27,NA,#VALUE!
81,Antwerp,1920,Aquatics,Swimming,"BLEIBTREY, Ethelda",USA,Women,400m freestyle,W,Gold,27-Feb-02,NA,18,NA,#VALUE!
82,Antwerp,1920,Aquatics,Swimming,"WOODBRIDGE, Margaret",USA,Women,400m freestyle,W,Silver,NA,170.18,NA,NA,#VALUE!
83,Paris,1924,Aquatics,Swimming,"BARTHA, Istvàn",HUN,Men,100m backstroke,M,Bronze,NA,NA,NA,NA,#VALUE!
84,Paris,1924,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold,NA,NA,NA,NA,#VALUE!
85,Paris,1924,Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Silver,NA,182.88,NA,NA,#VALUE!
86,Paris,1924,Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100m backstroke,W,Bronze,2-May-06,142.24,18,NA,#VALUE!
87,Paris,1924,Aquatics,Swimming,"BAUER, Sybil",USA,Women,100m backstroke,W,Gold,18-Sep-03,NA,20,NA,#VALUE!
88,Paris,1924,Aquatics,Swimming,"HARDING, Phyllis",GBR,Women,100m backstroke,W,Silver,15-Dec-07,NA,16,NA,#VALUE!
89,Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100m freestyle,M,Bronze,4-Nov-02,NA,21,NA,#VALUE!
90,Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold,2-Jun-04,190.5,20,NA,#VALUE!
91,Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Silver,"August 24, 1890",185.42,34,NA,#VALUE!
92,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100m freestyle,W,Bronze,23-Oct-05,167.64,18,141,64.09090909
93,Paris,1924,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,100m freestyle,W,Gold,10-Feb-07,162.56,17,NA,#VALUE!
94,Paris,1924,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,100m freestyle,W,Silver,15-May-06,NA,18,NA,#VALUE!
95,Paris,1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,1500m freestyle,M,Bronze,"May 13, 1891",NA,33,143,65
96,Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500m freestyle,M,Gold,12-Aug-07,182.88,17,NA,#VALUE!
97,Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500m freestyle,M,Silver,NA,NA,NA,NA,#VALUE!
98,Paris,1924,Aquatics,Swimming,"KIRSHBAUM, William",USA,Men,200m breaststroke,M,Bronze,NA,NA,NA,NA,#VALUE!
99,Paris,1924,Aquatics,Swimming,"SKELTON, Robert",USA,Men,200m breaststroke,M,Gold,"October 4, 1896",NA,27,NA,#VALUE!
100,Paris,1924,Aquatics,Swimming,"DE COMBE, Joseph",BEL,Men,200m breaststroke,M,Silver,19-Jun-01,NA,23,NA,#VALUE!
101,Paris,1924,Aquatics,Swimming,"CARSON, Gladys",GBR,Women,200m breaststroke,W,Bronze,8-Feb-03,NA,21,NA,#VALUE!
102,Paris,1924,Aquatics,Swimming,"MORTON, Lucille",GBR,Women,200m breaststroke,W,Gold,6-Aug-11,170.18,13,NA,#VALUE!
103,Paris,1924,Aquatics,Swimming,"GERAGHTY, Agnes",USA,Women,200m breaststroke,W,Silver,NA,NA,NA,NA,#VALUE!
104,Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Bronze,NA,182.88,NA,NA,#VALUE!
105,Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,400m freestyle,M,Gold,NA,190.5,NA,NA,#VALUE!
106,Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,400m freestyle,M,Silver,NA,NA,NA,NA,#VALUE!
107,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,400m freestyle,W,Bronze,NA,167.64,NA,141,64.09090909
108,Paris,1924,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400m freestyle,W,Gold,NA,NA,NA,NA,#VALUE!
109,Paris,1924,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,400m freestyle,W,Silver,15-Mar-06,154.94,18,NA,#VALUE!
110,Amsterdam,1928,Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Bronze,NA,182.88,NA,NA,#VALUE!
111,Amsterdam,1928,Aquatics,Swimming,"KOJAC, George Harold",USA,Men,100m backstroke,M,Gold,2-Mar-10,NA,18,NA,#VALUE!
112,Amsterdam,1928,Aquatics,Swimming,"LAUFER, Walter",USA,Men,100m backstroke,M,Silver,5-Jul-06,NA,22,NA,#VALUE!
113,Amsterdam,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",GBR,Women,100m backstroke,W,Bronze,NA,NA,NA,NA,#VALUE!
114,Amsterdam,1928,Aquatics,Swimming,"BRAUN, Maria Johanna",NED,Women,100m backstroke,W,Gold,22-Jun-11,170.18,17,NA,#VALUE!
115,Amsterdam,1928,Aquatics,Swimming,"KING, Ellen Elizabeth",GBR,Women,100m backstroke,W,Silver,16-Jan-09,NA,19,NA,#VALUE!
116,Amsterdam,1928,Aquatics,Swimming,"TAKAISHI, Katsuo",JPN,Men,100m freestyle,M,Bronze,14-Oct-06,NA,21,NA,#VALUE!
117,Amsterdam,1928,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold,2-Jun-04,190.5,24,NA,#VALUE!
118,Amsterdam,1928,Aquatics,Swimming,"BARANY, Istvan",HUN,Men,100m freestyle,M,Silver,20-Dec-07,NA,20,NA,#VALUE!
119,Amsterdam,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",GBR,Women,100m freestyle,W,Bronze,NA,NA,NA,NA,#VALUE!
120,Amsterdam,1928,Aquatics,Swimming,"OSIPOWICH, Albina Lucy",USA,Women,100m freestyle,W,Gold,26-Feb-11,NA,17,NA,#VALUE!
121,Amsterdam,1928,Aquatics,Swimming,"SAVILLE, Eleanor",USA,Women,100m freestyle,W,Silver,12-Jun-09,NA,19,NA,#VALUE!
122,Amsterdam,1928,Aquatics,Swimming,"CRABBE, Clarence",USA,Men,1500m freestyle,M,Bronze,7-Feb-08,NA,20,NA,#VALUE!
123,Amsterdam,1928,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500m freestyle,M,Gold,NA,NA,NA,NA,#VALUE!
124,Amsterdam,1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500m freestyle,M,Silver,12-Aug-07,182.88,21,NA,#VALUE!
125,Amsterdam,1928,Aquatics,Swimming,"YLDEFONSO, Teofilo",PHI,Men,200m breaststroke,M,Bronze,5-Nov-02,170.18,25,NA,#VALUE!
126,Amsterdam,1928,Aquatics,Swimming,"TSURUTA, Yoshiyuki",JPN,Men,200m breaststroke,M,Gold,1-Oct-03,NA,24,NA,#VALUE!
127,Amsterdam,1928,Aquatics,Swimming,"RADEMACHER, Erich",GER,Men,200m breaststroke,M,Silver,9-Jun-01,NA,27,NA,#VALUE!
128,Amsterdam,1928,Aquatics,Swimming,"M HE, Charlotte",GER,Women,200m breaststroke,W,Bronze,NA,NA,NA,NA,#VALUE!
129,Amsterdam,1928,Aquatics,Swimming,"SCHRADER, Hilde",GER,Women,200m breaststroke,W,Gold,4-Jan-10,NA,18,NA,#VALUE!
130,Amsterdam,1928,Aquatics,Swimming,"BARON, Mietje",NED,Women,200m breaststroke,W,Silver,NA,NA,NA,NA,#VALUE!
131,Amsterdam,1928,Aquatics,Swimming,"BORG, Arne",SWE,Men,400m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
132,Amsterdam,1928,Aquatics,Swimming,"ZORRILLA, Victoriano",ARG,Men,400m freestyle,M,Gold,11-Feb-06,NA,22,NA,#VALUE!
133,Amsterdam,1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Silver,12-Aug-07,182.88,21,NA,#VALUE!
134,Amsterdam,1928,Aquatics,Swimming,"MCKIM, Josephine E.",USA,Women,400m freestyle,W,Bronze,4-Jan-10,NA,18,NA,#VALUE!
135,Amsterdam,1928,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400m freestyle,W,Gold,21-Jan-11,NA,17,NA,#VALUE!
136,Amsterdam,1928,Aquatics,Swimming,"BRAUN, Maria Johanna",NED,Women,400m freestyle,W,Silver,22-Jun-11,170.18,17,NA,#VALUE!
137,Los Angeles,1932,Aquatics,Swimming,"KAWATSU, Kentaro",JPN,Men,100m backstroke,M,Bronze,26-Sep-15,NA,16,NA,#VALUE!
138,Los Angeles,1932,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Gold,11-Feb-13,NA,19,NA,#VALUE!
139,Los Angeles,1932,Aquatics,Swimming,"IRIYE, Toshio",JPN,Men,100m backstroke,M,Silver,NA,NA,NA,NA,#VALUE!
140,Los Angeles,1932,Aquatics,Swimming,"DAVIES, Elizabeth Valerie",GBR,Women,100m backstroke,W,Bronze,NA,NA,NA,NA,#VALUE!
141,Los Angeles,1932,Aquatics,Swimming,"HOLM, Eleanor",USA,Women,100m backstroke,W,Gold,6-Dec-13,NA,18,NA,#VALUE!
142,Los Angeles,1932,Aquatics,Swimming,"MEALING, Philomenia Alecia",AUS,Women,100m backstroke,W,Silver,NA,NA,NA,NA,#VALUE!
143,Los Angeles,1932,Aquatics,Swimming,"SCHWARTZ, Albert",USA,Men,100m freestyle,M,Bronze,21-Dec-07,NA,24,NA,#VALUE!
144,Los Angeles,1932,Aquatics,Swimming,"MIOYAZAKI, Yasuji",JPN,Men,100m freestyle,M,Gold,15-Oct-16,NA,15,NA,#VALUE!
145,Los Angeles,1932,Aquatics,Swimming,"KAWAISHI, Tatsugo",JPN,Men,100m freestyle,M,Silver,10-Dec-11,NA,20,NA,#VALUE!
146,Los Angeles,1932,Aquatics,Swimming,"SAVILLE, Eleanor",USA,Women,100m freestyle,W,Bronze,12-Jun-09,NA,23,NA,#VALUE!
147,Los Angeles,1932,Aquatics,Swimming,"MADISON, Helene",USA,Women,100m freestyle,W,Gold,19-Jun-13,NA,19,NA,#VALUE!
148,Los Angeles,1932,Aquatics,Swimming,"DEN OUDEN, Willemyntje (Willy)",NED,Women,100m freestyle,W,Silver,1-Jan-18,162.56,14,NA,#VALUE!
149,Los Angeles,1932,Aquatics,Swimming,"CRISTY, James Crapo Jr.",USA,Men,1500m freestyle,M,Bronze,22-Jan-13,NA,19,NA,#VALUE!
150,Los Angeles,1932,Aquatics,Swimming,"KITAMURA, Kusuo",JPN,Men,1500m freestyle,M,Gold,19-Oct-17,NA,14,NA,#VALUE!
151,Los Angeles,1932,Aquatics,Swimming,"MAKINO, Shozo",JPN,Men,1500m freestyle,M,Silver,"September 22, 1878",154.94,53,119,54.09090909
152,Los Angeles,1932,Aquatics,Swimming,"YLDEFONSO, Teofilo",PHI,Men,200m breaststroke,M,Bronze,5-Nov-02,170.18,29,NA,#VALUE!
153,Los Angeles,1932,Aquatics,Swimming,"TSURUTA, Yoshiyuki",JPN,Men,200m breaststroke,M,Gold,1-Oct-03,NA,28,NA,#VALUE!
154,Los Angeles,1932,Aquatics,Swimming,"KOIKE, Reizo",JPN,Men,200m breaststroke,M,Silver,12-Dec-15,NA,16,NA,#VALUE!
155,Los Angeles,1932,Aquatics,Swimming,"JACOBSEN, Else Agnes Ella",DEN,Women,200m breaststroke,W,Bronze,NA,NA,NA,NA,#VALUE!
156,Los Angeles,1932,Aquatics,Swimming,"DENNIS, Clare",AUS,Women,200m breaststroke,W,Gold,NA,NA,NA,NA,#VALUE!
157,Los Angeles,1932,Aquatics,Swimming,"MAEHATA, Hideko",JPN,Women,200m breaststroke,W,Silver,20-May-14,NA,18,NA,#VALUE!
158,Los Angeles,1932,Aquatics,Swimming,"OYOKOTA, Tsutomu",JPN,Men,400m freestyle,M,Bronze,"April 20, 1913 (age 103 years)",NA,NA,NA,#VALUE!
159,Los Angeles,1932,Aquatics,Swimming,"CRABBE, Clarence",USA,Men,400m freestyle,M,Gold,7-Feb-08,NA,24,NA,#VALUE!
160,Los Angeles,1932,Aquatics,Swimming,"TARIS, Jean",FRA,Men,400m freestyle,M,Silver,6-Jul-09,177.8,23,NA,#VALUE!
161,Los Angeles,1932,Aquatics,Swimming,"MAAKAL, Jenny",RSA,Women,400m freestyle,W,Bronze,NA,NA,NA,NA,#VALUE!
162,Los Angeles,1932,Aquatics,Swimming,"MADISON, Helene",USA,Women,400m freestyle,W,Gold,NA,NA,NA,NA,#VALUE!
163,Los Angeles,1932,Aquatics,Swimming,"KIGHT-WINGARD, Lenore",USA,Women,400m freestyle,W,Silver,NA,NA,NA,NA,#VALUE!
164,Berlin,1936,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Bronze,NA,NA,NA,NA,#VALUE!
165,Berlin,1936,Aquatics,Swimming,"KIEFER, Adolph Gustav",USA,Men,100m backstroke,M,Gold,NA,NA,NA,NA,#VALUE!
166,Berlin,1936,Aquatics,Swimming,"VAN DE WEGHE, Albert",USA,Men,100m backstroke,M,Silver,NA,NA,NA,NA,#VALUE!
167,Berlin,1936,Aquatics,Swimming,"BRIDGES, Alice W.",USA,Women,100m backstroke,W,Bronze,NA,NA,NA,NA,#VALUE!
168,Berlin,1936,Aquatics,Swimming,"SENFF, Dina Willemina Jacoba",NED,Women,100m backstroke,W,Gold,3-Apr-20,NA,16,NA,#VALUE!
169,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m backstroke,W,Silver,26-Feb-19,NA,17,NA,#VALUE!
170,Berlin,1936,Aquatics,Swimming,"ARAI, Shigeo",JPN,Men,100m freestyle,M,Bronze,8-Aug-16,NA,20,NA,#VALUE!
171,Berlin,1936,Aquatics,Swimming,"CSIK, Ferenc",HUN,Men,100m freestyle,M,Gold,12-Dec-13,NA,22,NA,#VALUE!
172,Berlin,1936,Aquatics,Swimming,"YUSA, Masanori",JPN,Men,100m freestyle,M,Silver,8-Jan-15,NA,21,NA,#VALUE!
173,Berlin,1936,Aquatics,Swimming,"ARENDT-JACOBS, Gisela",GER,Women,100m freestyle,W,Bronze,NA,NA,NA,NA,#VALUE!
174,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m freestyle,W,Gold,26-Feb-19,NA,17,NA,#VALUE!
175,Berlin,1936,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Women,100m freestyle,W,Silver,8-Mar-16,NA,20,NA,#VALUE!
176,Berlin,1936,Aquatics,Swimming,"UTO, Shunpei",JPN,Men,1500m freestyle,M,Bronze,"December 1, 1918 (age 97 years)",NA,NA,NA,#VALUE!
177,Berlin,1936,Aquatics,Swimming,"TERADA, Noboru",JPN,Men,1500m freestyle,M,Gold,25-Nov-17,NA,18,NA,#VALUE!
